name_first,male_prob.
Akira,0.162294242
Erich,0.996869396
Frank,0.994751064
Geoffrey,0.997165615
John,0.995807701
Bernard,0.994085023
Kaj,1
Robert,0.995563227
Herbert,0.993797006
Walter,0.993637001
William,0.995942925
Ronald,0.995870518
Yoji,0.5
Burnis,0.951485978
Anthony,0.994828038
Harold,0.994467023
Ermanno,0.5
Michel,0.71511388
Harry,0.994635866
Stuart,0.995172526
Inez,0.024639332
Stanley,0.994571673
Vernon,0.989540022
Horst,1
Adolph,0.999522781
Stanley,0.994571673
Lawrence,0.994865438
Richard,0.995939437
Andre,0.982213532
Hartmut,0.5
Ralph,0.995089244
Mituo,0.5
Richard,0.995939437
Frederick,0.994722874
Alsan,0.5
Erwin,0.99816169
Hans,0.999558886
Eugene,0.992457058
Russel,0.999880874
Helmut,1
Philip,0.99644941
Goro,1
Hans-Peter,0.5
James,0.995261211
Lucien,0.998862903
Walter,0.993637001
Marcel,0.941927798
Hartmut,0.5
Ichitaro,0.5
John,0.995807701
Richard,0.995939437
Hidetaka,0.5
Shozo,1
Frank,0.994751064
Stanley,0.994571673
Andrzej,1
Robert,0.995563227
Jacques,0.969572338
Ray,0.982148686
Edward,0.995334493
Kenichi,1
Albert,0.993833737
Allen,0.993512697
Toshinori,0.5
Richard,0.995939437
Lorentz,1
Richard,0.995939437
John,0.995807701
Michel,0.71511388
Kalman,1
Burrell,1
Tadashi,1
Dario,1
Janet,0.002472875
Roy,0.99315256
Ralph,0.995089244
Charles,0.994586882
Paul,0.995747313
Jean-Pierre,0.5
Detlef,0.5
Kwong,0.5
Allan,0.996941475
Hans,0.999558886
Lee,0.757233361
Frank,0.994751064
Uwe,1
Martin,0.994904181
Albert,0.993833737
Trevor,0.996047092
Horst,1
James,0.995261211
Monroe,0.741800647
Ralph,0.995089244
Antoine,0.985462082
Edgar,0.995151721
Rene,0.680106483
James,0.995261211
Nicholas,0.996450335
Ronald,0.995870518
Herbert,0.993797006
William,0.995942925
Anton,0.998534606
Robert,0.995563227
Charles,0.994586882
Hugh,0.997234922
Karl,0.988689087
Jerome,0.992833811
John,0.995807701
Ernst,1
Raymond,0.994718012
Robert,0.995563227
John,0.995807701
Eugene,0.992457058
Richard,0.995939437
David,0.996177254
Ervin,0.996291828
Robert,0.995563227
Hans,0.999558886
Donald,0.99555522
Kirkland,0.993614092
Theodore,0.996198915
Paul,0.995747313
Alexander,0.992860151
Dale,0.915050337
Robert,0.995563227
Stanley,0.994571673
Daniel,0.995440931
William,0.995942925
Robert,0.995563227
Yoshiki,1
Edward,0.995334493
Don,0.992763938
Leopold,1
Friedhelm,0.5
Wolfgang,1
Karlheinz,0.5
Samuel,0.996111777
Morton,0.999965614
Pavel,1
Daniel,0.995440931
